text,intent
"I want a refund for my damaged mug from order 12345.","Refund Request"
"Please refund my purchase, the item arrived broken.","Refund Request"
"Can I get my money back? The product is defective.","Refund Request"
"I'd like to return this and get a refund.","Refund Request"
"Refund please — the package arrived shattered.","Refund Request"
"How do I return a damaged item and get my money back?","Refund Request"
"Order 11234 had broken glassware, I want a refund.","Refund Request"
"I need a full refund for the defective headphones.","Refund Request"
"The mug set arrived smashed, requesting refund.","Refund Request"
"Charged me for an item that came broken — refund please.","Refund Request"
"Asking for a partial refund since one piece is cracked.","Refund Request"
"Item didn't match description, want money back.","Refund Request"
"Request to cancel order and refund the charge.","Refund Request"
"Refund my order asap, item is unusable.","Refund Request"
"Hi I'd like reimbursement for the broken vase.","Refund Request"
"Return shipped, when will my refund post?","Refund Request"
"Need a refund — the laptop stand is bent.","Refund Request"
"My headphones don't work, please refund.","Refund Request"
"Bought the hoodie last week, want to return for refund.","Refund Request"
"Refund requested for cracked plate set.","Refund Request"
"Please process a refund for order #44291, the blender is dead on arrival.","Refund Request"
"I'd like a refund — the lamp shattered in shipping.","Refund Request"
"Could you refund me? The dress arrived with a torn seam.","Refund Request"
"I want my money back, the sunglasses are scratched.","Refund Request"
"Refund needed for the candles, they all melted in transit.","Refund Request"
"Hi team, requesting a refund on order 88812 — defective speaker.","Refund Request"
"Need a refund issued to my card, the watch stopped working day one.","Refund Request"
"The toaster is faulty. Please refund.","Refund Request"
"Returning the kettle today, when will the refund hit my account?","Refund Request"
"I want a refund for the boots — left one came damaged.","Refund Request"
"Money back please, the chair leg is broken.","Refund Request"
"Refund request: order 99002, glass picture frame arrived smashed.","Refund Request"
"Can I be refunded for the cracked phone case?","Refund Request"
"Reimburse me for the broken plates please.","Refund Request"
"Requesting a refund on this order, the item is unsafe to use.","Refund Request"
"The mirror came with a huge crack. I want a refund, not a replacement.","Refund Request"
"Could I get a refund on the office chair? Wheel is broken.","Refund Request"
"Looking to return my order and get refunded ASAP.","Refund Request"
"Send me a refund — the package was empty.","Refund Request"
"Refund please, I changed my mind about the purchase.","Refund Request"
"I'd like a return label and a refund for order 33450.","Refund Request"
"Hello, the rug doesn't match what was shown. Refund please.","Refund Request"
"Order arrived in pieces, requesting full refund.","Refund Request"
"Headphones cut out constantly, want refund.","Refund Request"
"I want a refund because the dress doesn't fit and tags are still on.","Refund Request"
"Refund needed for damaged painting.","Refund Request"
"Please reverse the charge for order 77891 — items defective.","Refund Request"
"My order is unusable, I expect a full refund.","Refund Request"
"Hi, returning the printer tomorrow. Need a refund.","Refund Request"
"Refund? The shoes are two different sizes.","Refund Request"
"Item was damaged during delivery, I want my money back.","Refund Request"
"Demand a refund for the broken espresso machine.","Refund Request"
"Refund please. I never opened it, just changed my mind.","Refund Request"
"I'd like to cancel and refund — I no longer need the item.","Refund Request"
"Please refund order #12999 — the entire set arrived shattered.","Refund Request"
"Need to return for refund, the wrong size showed up.","Refund Request"
"Refund my order, I'm not satisfied with the quality.","Refund Request"
"Can you refund the shipping cost too? Item arrived damaged.","Refund Request"
"Want a full refund, not store credit.","Refund Request"
"Please refund — the camera lens is broken.","Refund Request"
"Looking for a refund on order 22310, the bracelet snapped immediately.","Refund Request"
"Hi, I returned my package last week and still no refund.","Refund Request"
"Refund still hasn't appeared after 10 business days.","Refund Request"
"Where is my refund? I shipped the return on the 5th.","Refund Request"
"When can I expect my refund to be processed?","Refund Request"
"Refund timeline question — package received by your warehouse 6 days ago.","Refund Request"
"I shipped the return, please refund my card.","Refund Request"
"Refund status please — RMA #88812.","Refund Request"
"Could you check on my refund? It's been 3 weeks.","Refund Request"
"Refund hasn't shown up on my statement yet.","Refund Request"
"Hi, refund for order 11209 still missing.","Refund Request"
"Need a refund for the wrong-color sweater.","Refund Request"
"Refund needed urgently — the food item arrived spoiled.","Refund Request"
"Please refund the perfume, it leaked everywhere in the box.","Refund Request"
"I want a refund for the cracked tablet screen on arrival.","Refund Request"
"Order arrived with missing pieces, I want a refund.","Refund Request"
"Refund please, contents don't match the description.","Refund Request"
"Please refund. The candle wick was missing entirely.","Refund Request"
"Need refund for broken handle on the suitcase.","Refund Request"
"I want to return the necklace for a refund — clasp is broken.","Refund Request"
"Refund needed: water bottle leaks badly.","Refund Request"
"Could you refund order #56601? Item never worked.","Refund Request"
"I'd like a refund on the smartwatch — won't charge.","Refund Request"
"Refund please — the laptop has a dead pixel cluster.","Refund Request"
"Want my money back, the rug smells terrible.","Refund Request"
"Refund for order 77129. Wrong product entirely.","Refund Request"
"Please issue a refund. I no longer want this item.","Refund Request"
"Refund — the gift card I bought doesn't redeem.","Refund Request"
"Want a refund for the e-book that won't download.","Refund Request"
"Refund my order, I bought it by mistake.","Refund Request"
"Could I get a partial refund? Only one item was damaged.","Refund Request"
"Partial refund request for the broken cup in the set.","Refund Request"
"Refund half the price please — one of the two arrived broken.","Refund Request"
"Need a partial refund, the discount wasn't applied originally.","Refund Request"
"Refund $30 of my order — the second item is damaged.","Refund Request"
"Please refund just the shipping, I'll keep the items.","Refund Request"
"Need to be refunded for tax overcharge.","Refund Request"
"Refund the duplicate item I was sent and charged for.","Refund Request"
"Want my money back for the wrong-flavor delivery.","Refund Request"
"Refund the missing item from my order please.","Refund Request"
"Hi support, refund needed for damaged ornaments.","Refund Request"
"Dear team, please refund order #99001 due to defective unit.","Refund Request"
"Hello, requesting a refund on a recent purchase.","Refund Request"
"Hi, I need to initiate a refund process.","Refund Request"
"Greetings — refund needed for order 22091.","Refund Request"
"Hi there, would like to start a refund.","Refund Request"
"Customer service, I need a refund issued.","Refund Request"
"Hello — broken item, refund please.","Refund Request"
"Hi, refund inquiry: order 33102.","Refund Request"
"Refund initiated please for purchase last Tuesday.","Refund Request"
"I demand a refund right now, this is unacceptable.","Refund Request"
"Refund me immediately. The product is dangerous.","Refund Request"
"Give me my money back, this is fraud.","Refund Request"
"I want a refund NOW, three weeks of waiting is enough.","Refund Request"
"Refund or I'm calling my bank.","Refund Request"
"Refund this disaster of a purchase.","Refund Request"
"I'm furious — refund my account immediately.","Refund Request"
"Refund or I dispute the charge with my card company.","Refund Request"
"This is the worst product ever — refund me!","Refund Request"
"Refund. End of discussion.","Refund Request"
"Quick question — refund eligible if I opened the box?","Refund Request"
"Are refunds available for opened items?","Refund Request"
"Can I get a refund 35 days after purchase?","Refund Request"
"Is the item eligible for refund if I lost the receipt?","Refund Request"
"What's the process for a refund on a sale item?","Refund Request"
"Can I get refunded if I paid with PayPal?","Refund Request"
"Do you offer refunds on digital purchases?","Refund Request"
"How do I request a refund on a gift?","Refund Request"
"Refund question — can I get one without the original packaging?","Refund Request"
"Is a refund possible after using the item once?","Refund Request"
"Refund please — order 11091, broken wine glasses.","Refund Request"
"Got the package today, items damaged, need refund.","Refund Request"
"Refund needed for soggy box of cookies, arrived crushed.","Refund Request"
"Need refund for the headphones — left earbud dead.","Refund Request"
"Refund my order, the picture frame glass is shattered.","Refund Request"
"Want a refund: my plant arrived dead.","Refund Request"
"Please refund — the cake mix box was opened and tampered with.","Refund Request"
"Refund request: ordered black, received gray.","Refund Request"
"Refund: ordered XL, got S.","Refund Request"
"Refund needed for cosmetics — seal was broken.","Refund Request"
"I would like to be refunded on order 44502.","Refund Request"
"Refunding the smartwatch — strap broke first day.","Refund Request"
"Could I be refunded for the keyboard? Some keys don't register.","Refund Request"
"Please reimburse me for the broken iron.","Refund Request"
"Money back required: defective hair dryer.","Refund Request"
"Refund the chess set — pieces missing.","Refund Request"
"Need a refund — the puzzle box was empty.","Refund Request"
"Want to be reimbursed for the wrong-size jacket.","Refund Request"
"Refund my recent purchase — order 12333.","Refund Request"
"Refund processing request for return shipment R-882.","Refund Request"
"Yesterday's order needs to be refunded — wrong items sent.","Refund Request"
"Refund the order I placed last Sunday.","Refund Request"
"Refund #99221 — return tracking shows delivered to warehouse.","Refund Request"
"Refund please. I'd appreciate a quick turnaround.","Refund Request"
"Could I get a refund without sending the item back?","Refund Request"
"Refund without return possible? The item is too damaged to ship.","Refund Request"
"Refund request — item never used, still in original packaging.","Refund Request"
"Need refund for unworn shoes.","Refund Request"
"Refund please. Tags still attached.","Refund Request"
"Refund. The instructions are in a language I don't read and the item is unusable.","Refund Request"
"Want a refund — item arrived 6 weeks late and I bought elsewhere.","Refund Request"
"Refund please, the event I needed it for already passed.","Refund Request"
"Refund — birthday gift arrived too late.","Refund Request"
"Refund needed: bought wrong model number.","Refund Request"
"Refund: ordered the wrong size.","Refund Request"
"Refund please — duplicate order placed by mistake.","Refund Request"
"I accidentally ordered twice, refund one please.","Refund Request"
"Refund my order — I clicked checkout twice.","Refund Request"
"Refund please. Order placed in error.","Refund Request"
"Refund the second of my two recent purchases.","Refund Request"
"Refund — item shipped to wrong address and never recovered.","Refund Request"
"Refund please, I never received the parcel and tracking says lost.","Refund Request"
"Refund: package was destroyed in transit per carrier note.","Refund Request"
"Refund — item burned in the warehouse fire I read about.","Refund Request"
"Refund for lost shipment, USPS confirmed not found.","Refund Request"
"Refund please — I no longer trust this product after reviews I read.","Refund Request"
"Refund the supplements, ingredients don't match what's listed.","Refund Request"
